,0,1,article_id,prediction
0,-0.18094215291502597,-1.7986851751294626,0,0
1,-0.04905858843541762,-3.0391690279579886,1,0
2,-0.09873471412699697,-2.364279881565784,2,0
3,-0.1673705120015617,-1.8700636140352238,3,0
4,-0.07524304962873556,-2.62441738277792,4,0
5,-0.1234336712480958,-2.1531334303439977,5,0
6,-0.12581961655783017,-2.135156300334165,6,0
7,-0.18140875839665607,-1.7963360012159046,7,0
8,-0.44889386349017596,-1.017033718151264,8,0
9,-0.5242771509618577,-0.8964467431226211,9,0
10,-0.016784836837421907,-4.095660048999957,10,0
11,-0.013164804437668322,-4.336783521752624,11,0
12,-0.3891891059782761,-1.1319812465983499,12,0
13,-0.1720801556770991,-1.844601455667855,13,0
14,-0.019063830022199416,-3.9694792275484065,14,0
15,-0.13681124488519902,-2.056778933573299,15,0
16,-0.3785833461827896,-1.1546459290872186,16,0
17,-0.6069726551422336,-0.7874540620252541,17,0
18,-0.18925132230448213,-1.7578131699655724,18,0
19,-0.16292298691485713,-1.894833404921226,19,0
20,-0.340298139635636,-1.2432617642958754,20,0
21,-0.2878658494035714,-1.3857432328214723,21,0
22,-0.6580557182610411,-0.7295149777731166,22,0
23,-0.6541116661875459,-0.733768581765018,23,0
24,-0.9126310838486505,-0.5132728509276853,24,1
25,-0.3113011781469103,-1.3186104108736565,25,0
26,-0.351239931657799,-1.2167705679017655,26,0
27,-0.08703614936394409,-2.484634194165107,27,0
28,-0.07316802853158098,-2.651357681320261,28,0
29,-0.18564780229850028,-1.7752922035694976,29,0
30,-0.4081764013543223,-1.0932116563511052,30,0
31,-0.21258479640223074,-1.6528244228415598,31,0
32,-0.22404268545792583,-1.605849438540071,32,0
33,-0.4251661352115655,-1.0603377344342542,33,0
34,-0.5941908330028935,-0.8029822537128696,34,0
35,-0.4500616822046064,-1.0149758623657321,35,0
36,-0.35509963658696436,-1.2076582009322137,36,0
37,-2.2351125560928713,-0.1131464003863949,37,1
38,-1.3610218311535744,-0.29625020350886405,38,1
39,-0.6052937349125336,-0.7894687796328975,39,0
40,-0.45043921499437645,-1.0143120158954129,40,0
41,-0.09194964371673181,-2.432136768657266,41,0
42,-0.430816096819444,-1.0497605060693178,42,0
43,-0.7797849228042246,-0.6134207344387886,43,1
44,-0.5959900082574149,-0.8007697740804992,44,0
45,-0.2200261275759184,-1.6220057092105473,45,0
46,-0.7761741237726177,-0.61648836132667,46,1
47,-0.6001200652263909,-0.795724344130212,47,0
48,-0.5570254572795595,-0.8507621052416309,48,0
49,-0.4227250907297467,-1.0649611290028465,49,0
50,-0.873118937521933,-0.5406783161741227,50,1
51,-0.6438633342127223,-0.7449864073750024,51,0
52,-0.13133524842222613,-2.0949510979091244,52,0
53,-0.8082064674488171,-0.5899710180984871,53,1
54,-0.2598248597667678,-1.474848628630948,54,0
55,-0.48604155545034783,-0.9546580536615047,55,0
56,-0.4833305653901508,-0.9590049358824572,56,0
57,-1.0464895407258874,-0.43258199508247835,57,1
58,-0.7507410096564406,-0.6386905378550731,58,1
59,-0.48539582619428373,-0.9556906544580632,59,0
60,-0.5511466580590992,-0.8587027757805806,60,0
61,-0.052077908283470475,-2.98094039758973,61,0
62,-0.6566258451135116,-0.7310530486448262,62,0
63,-0.0894778992769744,-2.4581689959381117,63,0
64,-0.2166337642906331,-1.635909295232368,64,0
65,-0.013301394958984107,-4.326529690647772,65,0
66,-0.017543759676343702,-4.051816021857611,66,0
67,-0.9594056783427746,-0.4830815985398341,67,1
68,-0.3631673367675017,-1.1889858257409498,68,0
69,-0.15379988781948248,-1.9480174891925435,69,0
70,-0.35959657987108773,-1.1971886671282241,70,0
71,-0.2570211408907838,-1.4843565268456451,71,0
72,-0.7099451643548532,-0.6766267137170822,72,1
73,-2.1894182269204023,-0.11876312821641716,73,1
74,-2.1304352680742094,-0.1264542990358965,74,1
75,-0.47495839243334315,-0.9726254818258288,75,0
76,-1.0833521890488707,-0.41318338224043977,76,1
77,-0.47495839243334315,-0.9726254818258288,77,0
78,-0.40540556171314374,-1.0987313920965265,78,0
79,-1.126794013102527,-0.39166658517687253,79,1
80,-0.026158518058249473,-3.656631151169489,80,0
81,-0.312897032453327,-1.3142535952841246,81,0
82,-0.6393868562351057,-0.7499627033531411,82,0
83,-0.21413902604287893,-1.6462894163232937,83,0
84,-0.4709681101377841,-0.9792238491459837,84,0
85,-0.5448829659550443,-0.867285468317343,85,0
86,-1.5004122001733493,-0.25236409946433697,86,1
87,-0.2008873583227254,-1.703773689863727,87,0
88,-0.6052410999754474,-0.7895320624035135,88,0
89,-0.49719169306210076,-0.9370966260250785,89,0
90,-0.2567715022432359,-1.4852087946262575,90,0
91,-0.23896023343342865,-1.5485601263447335,91,0
92,-0.2466595815823935,-1.5205421404662178,92,0
93,-0.20861637627963842,-1.6697537128350581,93,0
94,-0.12181567873581448,-2.165535828395756,94,0
95,-0.5767848897396883,-0.8248548622275614,95,0
96,-0.22457694350564636,-1.6037248018715902,96,0
97,-0.7420936567815558,-0.6464850842589099,97,1
98,-0.7679353968011632,-0.6235651382641246,98,1
99,-0.6346256618109687,-0.7553075196403607,99,0
100,-1.3042016812181134,-0.31661543927290864,100,1
101,-0.8129163007708906,-0.5862006324418647,101,1
102,-0.24211847377656132,-1.5369459840841757,102,0
103,-0.6562513618092954,-0.7314566240921294,103,0
104,-0.6326754427720526,-0.7575124613831284,104,0
105,-0.502459471798719,-0.9289726779071613,105,0
106,-0.6803250370024319,-0.7061358692599834,106,0
107,-0.14819976233045104,-1.9823790863650077,107,0
108,-0.6562513618092954,-0.7314566240921294,108,0
109,-0.35778468238588723,-1.201388193842393,109,0
110,-1.6895561073200787,-0.2040782656903114,110,1
111,-0.5363896354116766,-0.879129803494073,111,0
112,-2.3914970984252726,-0.09595225453158825,112,1
113,-1.1164833916409929,-0.39664791314713954,113,1
114,-1.4694530576597422,-0.26143135799664297,114,1
115,-0.134180780787965,-2.074907594075635,115,0
116,-1.1068863107698135,-0.40135362853994,116,1
117,-0.2558533955880254,-1.4883513161703104,117,0
118,-0.3074125056304488,-1.3293365138464321,118,0
119,-0.8538527855529758,-0.5547276380491811,119,1
120,-0.8538527855529758,-0.5547276380491811,120,1
121,-0.5261472384154894,-0.8937396753365833,121,0
122,-0.9867826258286004,-0.46644854409147285,122,1
123,-0.9636628106094773,-0.4804467488100331,123,1
124,-2.2902667853836363,-0.10673863042800562,124,1
125,-0.23024455539563507,-1.5815276468329993,125,0
126,-0.6464819048334364,-0.7420971552050025,126,0
127,-0.3081070893005321,-1.3274091171419988,127,0
128,-0.2180495441487577,-1.630077464863501,128,0
129,-0.3898342475219412,-1.1306266459699472,129,0
130,-0.2551303456037398,-1.4908352020691762,130,0
131,-0.02001429813820212,-3.921298812561658,131,0
132,-0.05329269559599773,-2.958484013052165,132,0
133,-0.25412595390455567,-1.4942988435926776,133,0
134,-0.05329269559599773,-2.958484013052165,134,0
135,-0.016588322469855116,-4.107338992581881,135,0
136,-0.06817712151648087,-2.719541128644742,136,0
137,-0.23700872250248692,-1.5558232433513652,137,0
138,-0.3432346685340893,-1.2360542938011354,138,0
139,-0.018648420761155728,-3.99130353443639,139,0
140,-0.3307210417436355,-1.2672873503800524,140,0
141,-0.35580546336978475,-1.2060045371437185,141,0
142,-0.12077851214737409,-2.1735784084470064,142,0
143,-0.02457883880372487,-3.7181336653588857,143,0
144,-0.19247872694934348,-1.7424658113121438,144,0
145,-0.032150890209125586,-3.4533475149263397,145,0
146,-0.16989717104032015,-1.8563080655031965,146,0
147,-0.6016370082758293,-0.7938827673845305,147,0
148,-0.11583296778312788,-2.2129635516814457,148,0
149,-0.5451229876489885,-0.8669542273264789,149,0
150,-0.1614237463304302,-1.9033487811862146,150,0
151,-0.10509187261960722,-2.305006133482795,151,0
152,-0.09707432135147485,-2.3804229432037016,152,0
153,-0.19165324630182654,-1.7463641829860987,153,0
154,-0.04323951310367607,-3.1625424020498714,154,0
155,-0.09225126803184423,-2.4290103140279067,155,0
156,-0.0187354104116959,-3.9866930204262157,156,0
157,-0.28298452706390853,-1.4005208681344232,157,0
158,-0.005103233131265868,-5.2804315242458815,158,0
159,-0.06161255581455652,-2.817537712838595,159,0
160,-0.1495174634116865,-1.9741695080352613,160,0
161,-0.2286727042921905,-1.587622037218669,161,0
162,-0.3815203040420151,-1.1482937938234627,162,0
163,-0.2234529168278383,-1.6082014065624655,163,0
164,-0.1322097421780787,-2.0887423297054486,164,0
165,-0.5352834174609279,-0.8806903255764534,165,0
166,-2.307955892280514,-0.10476553687837586,166,1
167,-0.6703516087627055,-0.71647453633511,167,0
168,-0.16564466810313447,-1.879589677322496,168,0
169,-0.1338296509757478,-2.0773562203381584,169,0
170,-0.37145741102922136,-1.1703071716700346,170,0
171,-0.34706967186674886,-1.2267505436725332,171,0
172,-0.41878803976817264,-1.0724873867143714,172,0
173,-0.1871529724138952,-1.7679464477299238,173,0
174,-0.33980516705716046,-1.24447892019754,174,0
175,-0.33303133859098116,-1.261417371832384,175,0
176,-0.6153534174688174,-0.7775072182927661,176,0
177,-0.49172263761291496,-0.9456473756834759,177,0
178,-0.8759913570138421,-0.53862336812812,178,1
179,-1.5826617445392746,-0.22995113809137147,179,1
180,-0.3350262812771502,-1.2563870305864469,180,0
181,-0.6354571136066177,-0.7543702501847415,181,0
182,-0.7343605858212654,-0.653565301112102,182,1
183,-0.4992238946434517,-0.9339496725216802,183,0
184,-0.2796970392079139,-1.4106393049928725,184,0
185,-1.709894132792199,-0.19953071828964716,185,1
